Name,Full Address,Address,City,State,Zip Code,Phone,Dealer_Homepage,,,,,,,
Big T's Auto Sales LLC,"715 Washington Ave Belleville, NJ 07109",715 Washington Ave,Belleville,NJ,7109,(888) 276-5028,https://www.bigtsautosales.com,,,,,,,
Dream Auto Group,"121-127 Rahway Avenue Elizabeth, NJ 07202",121-127 Rahway Avenue,Elizabeth,NJ,7202,(855) 698-3561,https://www.dreamagroup.com,,,,,,,
Certified MotorCar,"146 Westfield Ave W Roselle Park, NJ 07204",146 Westfield Ave W,Roselle Park,NJ,7204,(908) 242-3092,http://www.certified-motorcar.com,,,,,,,
NJ State Auto Used Cars,"406 Sip Ave. Jersey City, NJ 07306",406 Sip Ave.,Jersey City,NJ,7306,(201) 942-4404,http://www.njstateauto.com,,,,,,,
Auction Direct NJ Auto Sales Inc.,"624 Tonnele Ave Jersey City, NJ 07307",624 Tonnele Ave,Jersey City,NJ,7307,(201) 984-9323,http://www.auctiondirectnj.com,,,,,,,
Precision Chrysler Jeep Dodge Ram,"1341 State Route 23 Butler, NJ 07405",1341 State Route 23,Butler,NJ,7405,(862) 328-5024,https://www.precisionjeep.com,,,,,,,
Lincoln of Wayne - Ramsey,"66 New Jersey 17 Ramsey, NJ 07446",66 New Jersey 17,Ramsey,NJ,7446,(866) 337-4995,https://www.lincolnofwayne-ramsey.com,,,,,,,
Liberty Subaru,"55 Kinderkamack Rd Emerson, NJ 07630",55 Kinderkamack Rd,Emerson,NJ,7630,(201) 374-9410,,,,,,,,
Teterboro Chrysler Jeep Dodge RAM,"469 Route 46 East Little Ferry, NJ 07643",469 Route 46 East,Little Ferry,NJ,7643,(201) 365-4698,http://www.teterborochryslerjeep.net,,,,,,,
"Bergen Car Company, Inc.","22 US-46 Lodi, NJ 07644",22 US-46,Lodi,NJ,7644,(973) 287-4452,https://www.bergencar.com,,,,,,,
DCH Paramus Honda,"120 NJ-4 Paramus, NJ 07652",120 NJ-4,Paramus,NJ,7652,(201) 584-5312,https://www.dchparamushonda.com,,,,,,,
Bentley Paramus and Rolls-Royce Motor Cars Paramus,"331 Rte 4 Paramus, NJ 07652",331 Rte 4,Paramus,NJ,7652,(855) 637-9339,http://www.paulmillerbentley.com,,,,,,,
MB Motorsports,"1715 Asbury Ave Asbury Park, NJ 07712",1715 Asbury Ave,Asbury Park,NJ,7712,(888) 625-9950,https://www.mbmotorsports.com,,,,,,,
Seabreeze Ford,"1701 State Route 35 Belmar, NJ 07719",1701 State Route 35,Belmar,NJ,7719,(866) 483-8103,https://www.seabreezeford.com,,,,,,,
Audi Eatontown,"95 New Jersey 36 Eatontown, NJ 07724",95 New Jersey 36,Eatontown,NJ,7724,(866) 450-6911,https://www.audieatontown.com,,,,,,,
Lester Glenn Chevrolet Freehold,"3712 US-9 Freehold Township, NJ 07728",3712 US-9,Freehold Township,NJ,7728,(732) 606-4596,https://www.lesterglennchevroletfreehold.com,,,,,,,
Tom's Ford,"200 NJ-35 Keyport, NJ 07735",200 NJ-35,Keyport,NJ,7735,(888) 579-9908,http://www.tomsford.com,,,,,,,
Mercedes-Benz of Little Silver,"100 Oceanport Avenue Little Silver, NJ 07739",100 Oceanport Avenue,Little Silver,NJ,7739,(888) 532-0120,https://www.mcgovernauto.com,,,,,,,
All American Chevrolet,"1255 Highway 35 Middletown New Jersey, NJ 07748",1255 Highway 35 Middletown,New Jersey,NJ,7748,(732) 856-5075,http://www.allamericanchevrolet.com,,,,,,,
World Volkswagen of Neptune,"4075 State Route 33 Neptune, NJ 07753",4075 State Route 33,Neptune,NJ,7753,(866) 688-4276,"http://www.worldvw.net""
Gold Coast Cadillac,2123 State Route 35 Oakhurst"," NJ 07755""",2123 State Route 35,Oakhurst,NJ,7755,(732) 508-2429,http://www.goldcoastcadillac.com
Circle INFINITI,"300 State Route 36 West Long Branch, NJ 07764",300 State Route 36,West Long Branch,NJ,7764,(732) 982-2273,http://www.circleinfiniti.com,,,,,,,
Porsche Monmouth,"280 NJ-36 West Long Branch, NJ 07764",280 NJ-36,West Long Branch,NJ,7764,(866) 450-4695,https://www.porschemonmouth.com,,,,,,,
Autosport Acura of Denville,"3109 State Route 10 Denville, NJ 07834",3109 State Route 10,Denville,NJ,7834,(973) 891-0503,http://www.acuraofdenville.com,,,,,,,
Performance Lincoln Ford,"906 NJ-10 Randolph, NJ 07869",906 NJ-10,Randolph,NJ,7869,(973) 668-4961,http://www.performanceforddealer.com,,,,,,,
Dover Dodge Route 15 Used Car Center,"214 NJ-15 Wharton, NJ 07885",214 NJ-15,Wharton,NJ,7885,(866) 866-7028,https://www.njautos.com,,,,,,,
Smythe Volvo Cars,"40 RIVER ROAD SUMMIT, NJ 07901",40 RIVER ROAD,SUMMIT,NJ,7901,(888) 486-2741,https://www.smythevolvocars.com,,,,,,,
Douglas Volkswagen,"491 Morris Ave Summit, NJ 07902",491 Morris Ave,Summit,NJ,7902,(908) 325-5989,http://www.douglasvw.com,,,,,,,
Land Rover Princeton,"958 US-206 Princeton, NJ 08540",958 US-206,Princeton,NJ,8540,(855) 360-0669,https://www.landroverprinceton.com,,,,,,,
Precision Acura,"3001 US-1 Lawrenceville, NJ 08648",3001 US-1,Lawrenceville,NJ,8648,(609) 503-7451,https://www.precisionacura.com,,,,,,,
Pine Belt Chevy of Lakewood,"1088 Ocean Ave Lakewood, NJ 08701",1088 Ocean Ave,Lakewood,NJ,8701,(732) 751-4766,https://www.pinebeltchevrolet.com,,,,,,,
Pine Belt Mazda,"1104 New Jersey 88 Lakewood, NJ 08701",1104 New Jersey 88,Lakewood,NJ,8701,(732) 451-3661,https://www.pinebeltmazda.com,,,,,,,
AutoLenders Lakewood,"1165 Route 88 Lakewood, NJ 08701",1165 Route 88,Lakewood,NJ,8701,(856) 833-7367,https://www.autolenders.com,,,,,,,
Pine Belt Subaru of Lakewood,"1004 Route 88 Lakewood, NJ 08701",1004 Route 88,Lakewood,NJ,8701,(888) 881-2731,https://www.pinebeltsubaru.com,,,,,,,
Pine Belt Chrysler Jeep Dodge Ram of Lakewood,"1400 Rt 88/Ocean Ave Lakewood, NJ 08701",1400 Rt 88/Ocean Ave,Lakewood,NJ,8701,(732) 835-4392,https://www.pinebeltcjdr.com,,,,,,,
Larson Ford,"1150 Ocean Ave # 88 Lakewood, NJ 08701",1150 Ocean Ave # 88,Lakewood,NJ,8701,(866) 598-5517,http://www.larsonford.com,,,,,,,
Volvo Cars Manasquan,"2415 NJ-35 Manasquan, NJ 08736",2415 NJ-35,Manasquan,NJ,8736,(732) 722-5778,http://www.volvocarsmanasquan.com,,,,,,,
Silverton Motors,"1854 Hooper Avenue Toms River, NJ 08753",1854 Hooper Avenue,Toms River,NJ,8753,(888) 389-8352,https://www.silvertonmotors.com,,,,,,,
Clinton Honda,"1511 US Highway 22 Annandale, NJ 08801",1511 US Highway 22,Annandale,NJ,8801,(908) 293-8960,http://www.clintonhonda.com,,,,,,,
BMW of Bridgewater,"655 Rte 202/206 Bridgewater, NJ 08807",655 Rte 202/206,Bridgewater,NJ,8807,(908) 287-2172,https://www.bmwofbridgewater.com,,,,,,,
Empire Mazda of Green Brook,"220 U.S. 22 Green Brook Township, NJ 08812",220 U.S. 22,Green Brook Township,NJ,8812,(888) 375-7717,https://www.shopempiremazdaofgreenbrook.com,,,,,,,
Mercedes-Benz of Edison,"910 US-1 Edison, NJ 08817",910 US-1,Edison,NJ,8817,(732) 372-0324,http://www.raycatenaedison.com,,,,,,,
House Of Cars,"2084 Woodbridge Avenue Edison, NJ 08817",2084 Woodbridge Avenue,Edison,NJ,8817,(732) 385-6141,https://www.houseofcarsnj.com,,,,,,,
Novak Motors New Jersey,"1130 Rte 22 W Lebanon, NJ 08833",1130 Rte 22 W,Lebanon,NJ,8833,(908) 923-0778,http://www.novakmotorsnj.com,,,,,,,
Torch Light Motors Inc.,"916 Us Highway 9 Parlin, NJ 08859",916 Us Highway 9,Parlin,NJ,8859,(201) 625-1129,http://www.torchlightmotors.com,,,,,,,
NJ Auto Sales,"1779 Route 35 South South Amboy, NJ 08879",1779 Route 35 South,South Amboy,NJ,8879,(732) 952-1057,http://www.NJautosales35.com,,,,,,,
Manhattan Motorcars,"711 11th Ave New York, NY 10019",711 11th Ave,New York,NY,10019,(888) 802-0360,https://www.manhattanmotorcars.com,,,,,,,
VIP Auto Lease,"1204 Hylan Boulevard Staten Island, NY 10305",1204 Hylan Boulevard,Staten Island,NY,10305,(877) 439-2892,,,,,,,,
The Car Guys,"425 Wild Ave Staten Island, NY 10314",425 Wild Ave,Staten Island,NY,10314,(888) 820-4916,https://shop.wearethecarguys.com,,,,,,,
Milea Subaru,"3201 E Tremont Ave Bronx, NY 10461",3201 E Tremont Ave,Bronx,NY,10461,(888) 901-3541,https://www.mileasubaru.com,,,,,,,
Milea Buick GMC,"3211 E Tremont Ave Bronx, NY 10461",3211 E Tremont Ave,Bronx,NY,10461,(888) 244-0988,https://www.mileabuickgmc.com,,,,,,,
Lia Toyota of Rockland,"618 NY-303 Blauvelt, NY 10913",618 NY-303,Blauvelt,NY,10913,(866) 463-2626,https://www.liatoyotaofrockland.com,,,,,,,
Paragon Honda,"57-02 Northern Blvd Woodside, NY 11377",57-02 Northern Blvd,Woodside,NY,11377,(866) 309-8003,https://www.paragonhonda.com,,,,,,,
GM Motors Inc.,"590 Sunrise Hwy Baldwin, NY 11510",590 Sunrise Hwy,Baldwin,NY,11510,(516) 543-6701,,,,,,,,
Mercedes-Benz of Rockville Centre,"650 Sunrise Highway Rockville Centre, NY 11570",650 Sunrise Highway,Rockville Centre,NY,11570,(516) 874-4843,http://www.mbrvc.com,,,,,,,
Legend Porsche Audi VW,"158 Merrick Rd Amityville, NY 11701",158 Merrick Rd,Amityville,NY,11701,(631) 609-4432,http://www.legendautogroup.com,,,,,,,
South Bay Auto Supercenter,"859 Sunrise Highway West Babylon, NY 11704",859 Sunrise Highway,West Babylon,NY,11704,(866) 619-4187,https://www.southbayautosupercenter.com,,,,,,,
AR Motorsports,"45 Pine Aire Dr. Bay Shore, NY 11706",45 Pine Aire Dr.,Bay Shore,NY,11706,(631) 333-7243,http://www.armotorsportsny.com,,,,,,,
GEN X AUTO INC,"77 Windsor Place Central Islip, NY 11722",77 Windsor Place,Central Islip,NY,11722,(516) 620-1832,https://www.genxautoinc.com,,,,,,,
Novak Motors,"215 Daniel St Farmingdale, NY 11735",215 Daniel St,Farmingdale,NY,11735,(631) 881-4304,https://www.novakmotors.com,,,,,,,
Mazda 112,"2096 Route 112 Medford, NY 11763",2096 Route 112,Medford,NY,11763,(877) 882-3448,http://www.mazda112.com,,,,,,,
Jayware,"135 Sunrise Highway Patchogue, NY 11772",135 Sunrise Highway,Patchogue,NY,11772,(631) 576-4157,https://jaywarecars.com,,,,,,,
Smithtown Kia,"726 Middle Country Rd Saint James, NY 11780",726 Middle Country Rd,Saint James,NY,11780,(631) 993-4667,http://www.smithtownkia.com,,,,,,,
Wantagh Mazda,"3180 Sunrise Hwy Wantagh, NY 11793",3180 Sunrise Hwy,Wantagh,NY,11793,(516) 882-1919,https://wantaghmazda.com,,,,,,,
